season,team_id,seed_code,division,seed_num,seed_missing
1985,1207,W01,M,1,0
1985,1210,W02,M,2,0
1985,1228,W03,M,3,0
1985,1260,W04,M,4,0
1985,1374,W05,M,5,0
1985,1208,W06,M,6,0
1985,1393,W07,M,7,0
1985,1396,W08,M,8,0
1985,1439,W09,M,9,0
1985,1177,W10,M,10,0
1985,1455,W11,M,11,0
1985,1330,W12,M,12,0
1985,1233,W13,M,13,0
1985,1318,W14,M,14,0
1985,1273,W15,M,15,0
1985,1250,W16,M,16,0
1985,1385,X01,M,1,0
1985,1433,X02,M,2,0
1985,1301,X03,M,3,0
1985,1424,X04,M,4,0
1985,1449,X05,M,5,0
1985,1409,X06,M,6,0
1985,1104,X07,M,7,0
1985,1234,X08,M,8,0
1985,1116,X09,M,9,0
1985,1112,X10,M,10,0
1985,1431,X11,M,11,0
1985,1246,X12,M,12,0
1985,1361,X13,M,13,0
1985,1305,X14,M,14,0
1985,1267,X15,M,15,0
1985,1380,X16,M,16,0
1985,1328,Y01,M,1,0
1985,1272,Y02,M,2,0
1985,1181,Y03,M,3,0
1985,1326,Y04,M,4,0
1985,1256,Y05,M,5,0
1985,1403,Y06,M,6,0
1985,1412,Y07,M,7,0
1985,1425,Y08,M,8,0
1985,1229,Y09,M,9,0
1985,1277,Y10,M,10,0
1985,1130,Y11,M,11,0
1985,1338,Y12,M,12,0
1985,1235,Y13,M,13,0
1985,1337,Y14,M,14,0
1985,1335,Y15,M,15,0
1985,1299,Y16,M,16,0
1985,1276,Z01,M,1,0
1985,1314,Z02,M,2,0
1985,1242,Z03,M,3,0
1985,1261,Z04,M,4,0
1985,1268,Z05,M,5,0
1985,1345,Z06,M,6,0
1985,1323,Z07,M,7,0
1985,1437,Z08,M,8,0
1985,1173,Z09,M,9,0
1985,1333,Z10,M,10,0
1985,1120,Z11,M,11,0
1985,1275,Z12,M,12,0
1985,1298,Z13,M,13,0
1985,1325,Z14,M,14,0
1985,1292,Z15,M,15,0
1985,1192,Z16,M,16,0
1986,1181,W01,M,1,0
1986,1393,W02,M,2,0
1986,1231,W03,M,3,0
1986,1328,W04,M,4,0
1986,1438,W05,M,5,0
1986,1386,W06,M,6,0
1986,1298,W07,M,7,0
1986,1330,W08,M,8,0
1986,1452,W09,M,9,0
1986,1409,W10,M,10,0
1986,1350,W11,M,11,0
1986,1177,W12,M,12,0
1986,1318,W13,M,13,0
1986,1156,W14,M,14,0
1986,1135,W15,M,15,0
1986,1290,W16,M,16,0
1986,1242,X01,M,1,0
1986,1276,X02,M,2,0
1986,1323,X03,M,3,0
1986,1207,X04,M,4,0
1986,1277,X05,M,5,0
1986,1301,X06,M,6,0
1986,1235,X07,M,7,0
1986,1239,X08,M,8,0
1986,1396,X09,M,9,0
1986,1275,X10,M,10,0
1986,1234,X11,M,11,0
1986,1449,X12,M,12,0
1986,1403,X13,M,13,0
1986,1114,X14,M,14,0
1986,1103,X15,M,15,0
1986,1299,X16,M,16,0
1986,1246,Y01,M,1,0
1986,1210,Y02,M,2,0
1986,1272,Y03,M,3,0
1986,1228,Y04,M,4,0
1986,1104,Y05,M,5,0
1986,1345,Y06,M,6,0
1986,1439,Y07,M,7,0
1986,1443,Y08,M,8,0
1986,1304,Y09,M,9,0
1986,1437,Y10,M,10,0
1986,1261,Y11,M,11,0
1986,1462,Y12,M,12,0
1986,1193,Y13,M,13,0
1986,1123,Y14,M,14,0
1986,1265,Y15,M,15,0
1986,1172,Y16,M,16,0
1986,1385,Z01,M,1,0
1986,1257,Z02,M,2,0
1986,1314,Z03,M,3,0
1986,1424,Z04,M,4,0
1986,1268,Z05,M,5,0
1986,1412,Z06,M,6,0
1986,1133,Z07,M,7,0
1986,1120,Z08,M,8,0
1986,1112,Z09,M,9,0
1986,1431,Z10,M,10,0
1986,1281,Z11,M,11,0
1986,1337,Z12,M,12,0
1986,1419,Z13,M,13,0
1986,1428,Z14,M,14,0
1986,1180,Z15,M,15,0
1986,1286,Z16,M,16,0
1987,1314,W01,M,1,0
1987,1393,W02,M,2,0
1987,1345,W03,M,3,0
1987,1395,W04,M,4,0
1987,1323,W05,M,5,0
1987,1196,W06,M,6,0
1987,1452,W07,M,7,0
1987,1298,W08,M,8,0
1987,1276,W09,M,9,0
1987,1443,W10,M,10,0
1987,1301,W11,M,11,0
1987,1292,W12,M,12,0
1987,1267,W13,M,13,0
1987,1318,W14,M,14,0
1987,1204,W15,M,15,0
1987,1335,W16,M,16,0
1987,1207,X01,M,1,0
1987,1104,X02,M,2,0
1987,1228,X03,M,3,0
1987,1155,X04,M,4,0
1987,1242,X05,M,5,0
1987,1344,X06,M,6,0
1987,1309,X07,M,7,0
1987,1246,X08,M,8,0
1987,1326,X09,M,9,0
1987,1140,X10,M,10,0
1987,1412,X11,M,11,0
1987,1222,X12,M,12,0
1987,1283,X13,M,13,0
1987,1122,X14,M,14,0
1987,1299,X15,M,15,0
