season,team_id,top25_elo_wins,top25_elo_games
2003,1102,0,1
2003,1103,1,2
2003,1104,2,3
2003,1106,0,2
2003,1107,0,1
2003,1108,0,1
2003,1110,1,4
2003,1111,0,1
2003,1112,2,2
2003,1113,0,3
2003,1114,0,1
2003,1115,0,3
2003,1116,0,4
2003,1119,0,4
2003,1120,1,3
2003,1122,1,1
2003,1123,0,6
2003,1124,0,5
2003,1125,0,1
2003,1126,0,1
2003,1127,0,1
2003,1129,0,1
2003,1130,0,3
2003,1131,0,1
2003,1132,0,2
2003,1133,1,6
2003,1135,0,3
2003,1137,0,3
2003,1138,0,1
2003,1139,0,1
2003,1140,0,2
2003,1143,0,3
2003,1144,0,2
2003,1145,0,3
2003,1150,1,5
2003,1151,1,1
2003,1153,1,7
2003,1155,0,4
2003,1156,0,2
2003,1158,0,1
2003,1159,0,3
2003,1160,3,6
2003,1161,0,1
2003,1162,0,2
2003,1163,2,5
2003,1164,0,3
2003,1165,0,3
2003,1166,2,4
2003,1169,0,1
2003,1170,0,3
2003,1171,0,3
2003,1172,0,2
2003,1173,2,5
2003,1174,1,4
2003,1175,0,2
2003,1177,2,5
2003,1178,0,3
2003,1179,0,5
2003,1180,1,4
2003,1181,3,4
2003,1182,0,6
2003,1183,0,2
2003,1184,0,2
2003,1185,1,2
2003,1186,0,3
2003,1187,1,5
2003,1189,0,2
2003,1190,0,1
2003,1191,1,6
2003,1193,2,5
2003,1194,0,2
2003,1196,1,3
2003,1197,0,1
2003,1199,1,5
2003,1200,0,4
2003,1201,0,1
2003,1202,0,3
2003,1203,0,6
2003,1205,0,1
2003,1206,1,5
2003,1207,0,6
2003,1208,1,4
2003,1209,0,3
2003,1210,1,6
2003,1211,0,1
2003,1212,0,1
2003,1216,0,2
2003,1217,0,3
2003,1218,1,1
2003,1219,0,1
2003,1220,0,4
2003,1221,0,1
2003,1222,0,3
2003,1226,0,2
2003,1227,1,3
2003,1228,0,1
2003,1229,0,6
2003,1231,1,5
2003,1232,0,6
2003,1233,1,3
2003,1234,1,1
2003,1235,0,5
2003,1236,0,1
2003,1237,0,1
2003,1239,0,3
2003,1240,0,1
2003,1241,0,2
2003,1242,2,4
2003,1243,0,4
2003,1245,1,2
2003,1246,0,1
2003,1247,0,5
2003,1248,0,3
2003,1250,0,3
2003,1252,0,2
2003,1256,0,1
2003,1257,4,6
2003,1259,0,2
2003,1260,1,2
2003,1261,1,2
2003,1263,0,1
2003,1264,0,1
2003,1265,1,4
