division,season,train_season_count,logistic_weight,hist_gbm_weight,xgboost_weight,games,brier_score,log_loss,accuracy
W,2015,5,0.58,0.08,0.34,126,0.12053529547256982,0.37483189957173846,0.8650793650793651
W,2016,6,0.58,0.08,0.34,126,0.15629842515371342,0.47192487096944047,0.7619047619047619
W,2017,7,0.58,0.08,0.34,126,0.1418970333013337,0.4134438085555081,0.7301587301587301
W,2018,8,0.58,0.08,0.34,126,0.16297352211996025,0.4878223279926341,0.7222222222222222
W,2019,9,0.58,0.08,0.34,126,0.1489021040494512,0.4416880198671038,0.7301587301587301
W,2021,10,0.58,0.08,0.34,126,0.1523915765613639,0.4620170139463606,0.7619047619047619
W,2022,11,0.58,0.08,0.34,134,0.16303964095113968,0.4890726210858755,0.746268656716418
W,2023,12,0.58,0.08,0.34,134,0.19579784141456108,0.5594555265123935,0.7014925373134329
W,2024,13,0.58,0.08,0.34,134,0.1392863783419148,0.42513638583439134,0.7761194029850746
W,2025,14,0.58,0.08,0.34,134,0.10937547674700315,0.3531688842452826,0.835820895522388
